_gold_cui_rank,_gold_cui_score,_gold_name,_text,accuracy,max_accuracy,max_mrr,mrr,~pred_cuis_1.0,~pred_cuis_10.0,~pred_cuis_2.0,~pred_cuis_3.0,~pred_cuis_4.0,~pred_cuis_5.0,~pred_cuis_6.0,~pred_cuis_7.0,~pred_cuis_8.0,~pred_cuis_9.0,~~comm,~~mention_uuid,cos_dist,sentence,cos_rank
8.0,-0.5474030971527101,Elevated diaphragm,Elevation ... left hemidiaphragm,0.0,0.0,0.125,0.125,C0149721=Ventricular hypertrophy (& [left]) (0.37),C0032227=Pleural effusion (disorder) (-0.57),C0162770=Right ventricular hypertrophy (-0.38),C0152113=Rheumatic chorea (-0.40),C1997092=Hypertensive left ventricular hypertrophy (-0.42),C0344709=Right atrial dilatation (-0.43),"C0007177=Tamponade, cardiac (-0.45)",C0344893=Right ventricular dilatation (-0.51),C0264583=Elevated diaphragm (-0.55),C0344911=Left ventricular dilatation (-0.56),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819398,0.6927891059374447,Elevation of the left hemidiaphragm. .,21202.0
48238.0,-0.9645179510116576,Streptococcus pyogenes infection,Group A strep bacteremia,0.0,0.0,2.0730544384095528e-05,2.0730544384095528e-05,C0033270=Retained products of conception (0.36),C0572145=Ibuprofen overdose (-0.02),C0038454=Accident - cerebrovascular (0.26),"C1571909=Overdose - drug, accid. (0.22)",C0007787=Transient ischemic attack (0.21),C0024117=Chronic obstructive airway disease (0.17),C0573456=Antibacterial drug overdose (0.06),C0573838=Overdose of cardiovascular drug (0.03),C0152113=Rheumatic chorea (0.02),C0573196=Overdose of cocaine (-0.01),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819caa,0.7364129999342501,transferred from OSH for Group A strep bacteremia and SIRS Major Surgical or Invasive Procedure: :,30400.0
2347.0,-0.9790350198745728,Systemic inflammatory response syndrome,SIRS,0.0,0.0,0.0004260758414997869,0.0004260758414997869,"C0243026=Systemic infection, NOS (0.20)","C0233953=Sexual aggression, NOS (-0.47)",C0547004=Intermenstrual bleeding - regular (0.17),"C0029944=Overdose, NOS (-0.15)","C0021311=Infection, NOS (-0.26)","C0013404=Dyspnea, NOS (-0.32)",C0232943=Intermenstrual heavy bleeding (-0.43),C0347961=Respiratory acidemia (-0.43),"C0039070=Syncope, NOS (-0.46)",C0018817=Atrial septal defect (-0.46),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cab,0.08914372628651634,transferred from OSH for Group A strep bacteremia and SIRS Major Surgical or Invasive Procedure: :,17509.0
678.0,-0.8301114439964294,Tuberous sclerosis,tuberous sclerosis,0.0,0.0,0.0014749262536873154,0.0014749262536873154,C0038454=Accident - cerebrovascular (0.34),"C0013146=Drug abuse, NOS (-0.27)","C0043252=Gunshot wound, NOS (0.08)",C0547004=Intermenstrual bleeding - regular (-0.03),"C0023890=Cirrhosis of liver, NOS (-0.08)",C0025222=Melaena (-0.11),"C0029944=Overdose, NOS (-0.13)",C0556393=Inhales drugs (-0.20),C0478662=Slowness and poor responsiveness (-0.23),C0001957=Alcohol withdrawal delirium (-0.24),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cac,0.5119068754950977,"37 yo female w/ / pmhx significant for tuberous sclerosis and seizure disorder who was transferred to [* ** *H Hospital1 2* ** *] ] for Group A strep bacteremia and possible pneumonia, , concern for impending ARDS. .",40321.0
9340.0,-0.99233877658844,"Epilepsy, NOS",seizure disorder,0.0,0.0,0.00010706638115631693,0.00010706638115631693,"C0029944=Overdose, NOS (0.11)","C0277785=Functional disorder, NOS (-0.86)","C0011581=Depressive disorder, NOS (-0.68)",C0036337=Schizoaffective disorder (-0.74),"C0004936=Mental disorder, NOS (-0.79)",C0011860=Non-insulin dependent diabetes mellitus (-0.80),C0011854=Insulin dependent diabetes mellitus (-0.82),"C0233407=Disorientation, NOS (-0.85)","C1260873=Aortic valve disorder, NOS (-0.85)",C0547004=Intermenstrual bleeding - regular (-0.85),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cad,0.5444321240121888,"37 yo female w/ / pmhx significant for tuberous sclerosis and seizure disorder who was transferred to [* ** *H Hospital1 2* ** *] ] for Group A strep bacteremia and possible pneumonia, , concern for impending ARDS. .",43328.0
1.0,0.9046722650527954,"Pneumonia, NOS",pneumonia,1.0,1.0,1.0,1.0,"C0032285=Pneumonia, NOS (0.90)","C0031039=Pericardial effusion, NOS (-0.73)","C0032326=Pneumothorax, NOS (0.10)",C0032290=Aspiration pneumonia (0.03),C0339949=Nocardial pneumonia (-0.40),C0339918=Pneumonia or influenza NOS (-0.51),"C0032273=Pneumoconiosis, NOS (-0.61)",C0949083=Nosocomial pneumonia (-0.63),"C0006285=Bronchopneumonia, NOS (-0.70)","C0008350=Cholelithiasis, NOS (-0.72)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cae,0.1147643648811387,"37 yo female w/ / pmhx significant for tuberous sclerosis and seizure disorder who was transferred to [* ** *H Hospital1 2* ** *] ] for Group A strep bacteremia and possible pneumonia, , concern for impending ARDS. .",38872.0
1162.0,-0.9803816080093384,Adult respiratory distress syndrome,ARDS,0.0,0.0,0.0008605851979345956,0.0008605851979345956,C0003504=Aortic valve insufficiency (-0.30),"C0243026=Systemic infection, NOS (-0.69)",C0003811=Cardiac arrhythmia (-0.30),"C0029944=Overdose, NOS (-0.37)",C0027051=Myocardial infarction (-0.43),C0034088=Pulmonary valve insufficiency (-0.51),C0003507=Aortic valve stenosis (-0.64),"C0031039=Pericardial effusion, NOS (-0.65)","C1260873=Aortic valve disorder, NOS (-0.66)",C0026266=Mitral valve insufficiency (-0.67),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819caf,-0.011473811569743527,"37 yo female w/ / pmhx significant for tuberous sclerosis and seizure disorder who was transferred to [* ** *H Hospital1 2* ** *] ] for Group A strep bacteremia and possible pneumonia, , concern for impending ARDS. .",65200.0
1.0,0.9759557247161864,Abdominal pain,abdominal pain,1.0,1.0,1.0,1.0,C0000737=Abdominal pain (0.98),C0232289=Radiating chest pain (-0.15),C0008031=Chest pain (0.87),C0232498=Abdominal tenderness (0.70),C0232495=Lower abdominal pain (0.70),C0239783=Inguinal pain (0.47),C0476289=Abdominal wind pain (0.42),C0232493=Epigastric pain (0.29),C0581869=Abdominal wall pain (-0.05),C0234242=Pain and tenderness (-0.12),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cb1,0.4607281333092528,"The patient reports that she was feeling in her USH up until Sunday ([ [* ** *1 12- -2 27* ** *] ]) ) when she experienced fever, , abdominal pain, , nausea and emesis. .",114483.0
1.0,0.5286493301391602,Nausea NOS,nausea,1.0,1.0,1.0,1.0,C0027497=Nausea NOS (0.53),"C0030193=Pain, NOS (-0.97)","C0013404=Dyspnea, NOS (-0.87)","C0018681=Headache, NOS (-0.92)","C0013428=Dysuria, NOS (-0.92)",C0036572=Seizure (-0.92),"C0233407=Disorientation, NOS (-0.93)","C0011991=Diarrhea, NOS (-0.95)","C0042963=Vomiting, NOS (-0.97)","C0039070=Syncope, NOS (-0.97)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cb2,0.0810911139709439,"The patient reports that she was feeling in her USH up until Sunday ([ [* ** *1 12- -2 27* ** *] ]) ) when she experienced fever, , abdominal pain, , nausea and emesis. .",59084.0
1.0,0.7965111732482909,"Vomiting, NOS",emesis,1.0,1.0,1.0,1.0,"C0042963=Vomiting, NOS (0.80)",C0085623=Akinesia (-0.45),C0027497=Nausea NOS (0.28),C0018926=Haematemesis (0.16),"C0013404=Dyspnea, NOS (-0.33)","C0043144=Wheezing, NOS (-0.35)","C0034642=Rales, NOS (-0.40)","C0302142=Deformity, NOS (-0.42)","C0004144=Atelectasis, NOS (-0.42)","C0011206=Delirium, NOS (-0.44)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cb3,0.05357387406201594,"The patient reports that she was feeling in her USH up until Sunday ([ [* ** *1 12- -2 27* ** *] ]) ) when she experienced fever, , abdominal pain, , nausea and emesis. .",17222.0
1.0,0.975663721561432,"Pneumonia, NOS",pneumonia,1.0,1.0,1.0,1.0,"C0032285=Pneumonia, NOS (0.98)","C1761609=Aspiration pneumonitis, NOS (-0.15)",C0032290=Aspiration pneumonia (0.45),"C0032326=Pneumothorax, NOS (0.42)",C0339918=Pneumonia or influenza NOS (0.23),C0339949=Nocardial pneumonia (0.11),"C0021308=Infarction, NOS (0.01)","C0032273=Pneumoconiosis, NOS (-0.02)","C0006285=Bronchopneumonia, NOS (-0.04)",C0949083=Nosocomial pneumonia (-0.08),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cb6,0.08570737611664662,The pt was admitted for IV antibiotics/ / and hydration to treat possible pneumonia/ /U UTI .S She was given Ceftriaxone and LEvofloxacin. .,45741.0
5534.0,-0.9602084755897522,[D]Persistent fever,persistently febrile,0.0,0.0,0.00018070112034694616,0.00018070112034694616,C0478662=Slowness and poor responsiveness (0.51),"C0020538=Hypertensive disease, NOS (-0.14)","C0029944=Overdose, NOS (0.49)",C1998376=Exertional hypotension (0.34),C0348663=[X]Other hypotension (0.15),C0520541=Hypotensive episode (0.15),C0024117=Chronic obstructive airway disease (0.15),C0547004=Intermenstrual bleeding - regular (0.12),C0020546=Hypertensive crisis (-0.02),C0262534=Labile hypertension (-0.11),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cb7,0.5181992731625615,Patient remained persistently febrile and on [* ** *1 12- -2 29* ** *] ],57230.0
1.0,0.3374755084514618,"Dyspnea, NOS",difficulty breathing,1.0,1.0,1.0,1.0,"C0013404=Dyspnea, NOS (0.34)",C0018926=Haematemesis (-0.67),"C0039070=Syncope, NOS (-0.10)",C1831579=Dominating behavior (-0.19),C0085271=Self-injurious behavior (-0.24),"C0029944=Overdose, NOS (-0.32)",C0547004=Intermenstrual bleeding - regular (-0.43),C0562565=Patronizing behavior (-0.59),C0277865=Pleuritic breathing (-0.60),C0152113=Rheumatic chorea (-0.67),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cbf,0.47063262703279685,On arrival the patient denies any difficulty breathing. .,91573.0
11.0,-0.28199341893196106,Right flank pain,flank pain ... right,0.0,0.0,0.09090909090909093,0.09090909090909093,C0008031=Chest pain (0.50),"C0043252=Gunshot wound, NOS (-0.20)",C0016199=Flank pain (0.38),C0694551=Right lower quadrant pain (0.04),C0238656=Ankle pain (-0.02),C0037011=Shoulder pain (-0.05),C2585306=Abdominal tenderness of left lower quadrant (-0.07),C0238551=Left lower quadrant pain (-0.09),C0423641=Left flank pain (-0.12),C0241374=Thigh pain (-0.12),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cc0,0.6652877460603297,Reports some flank pain on the right. .,50909.0
1.0,0.602863073348999,Nausea NOS,N,1.0,1.0,1.0,1.0,C0027497=Nausea NOS (0.60),"C0015207=Eventration, NOS (-0.45)","C0013404=Dyspnea, NOS (0.25)","C0042963=Vomiting, NOS (0.08)","C0039070=Syncope, NOS (-0.17)","C0010200=Cough, NOS (-0.24)",C0013604=Edema NOS (-0.31),"C0043144=Wheezing, NOS (-0.32)","C0042950=Volition, NOS (-0.33)","C0029944=Overdose, NOS (-0.44)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cc1,0.07396710434189764,"No N/ /V V, , no chest pain. .",12346.0
1.0,0.6549651622772217,"Vomiting, NOS",V,1.0,1.0,1.0,1.0,"C0042963=Vomiting, NOS (0.65)",C0042345=Varicosities (-0.05),C0149721=Ventricular hypertrophy (& [left]) (0.65),C0008767=Cicatrisation (0.37),"C0428977=Bradycardia, NOS (0.30)","C0013404=Dyspnea, NOS (0.23)","C0018681=Headache, NOS (0.04)",C0003811=Cardiac arrhythmia (0.01),"C0010200=Cough, NOS (-0.04)","C0011991=Diarrhea, NOS (-0.04)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cc2,-0.000876305413662383,"No N/ /V V, , no chest pain. .",71393.0
1.0,0.9344568252563475,Chest pain,chest pain,1.0,1.0,1.0,1.0,C0008031=Chest pain (0.93),C0563278=Upper chest pain (-0.52),C0000737=Abdominal pain (0.08),C0016199=Flank pain (0.03),C0037011=Shoulder pain (0.02),C0004604=Back pain (-0.04),C0238656=Ankle pain (-0.39),C0007859=Neck pain (-0.45),"C0030193=Pain, NOS (-0.50)",C0232493=Epigastric pain (-0.51),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cc3,0.5736026663049256,"No N/ /V V, , no chest pain. .",13072.0
236.0,-0.9376112818717957,"Diarrhea, NOS",loose stools,0.0,0.0,0.00423728813559322,0.00423728813559322,C0025222=Melaena (-0.08),C0854113=Mucous membrane dryness (-0.77),C0018926=Haematemesis (-0.25),"C0042963=Vomiting, NOS (-0.51)",C0009443=Common cold (-0.52),C0474585=Faeces colour: tarry (-0.56),"C0034642=Rales, NOS (-0.70)","C0010200=Cough, NOS (-0.72)","C0043252=Gunshot wound, NOS (-0.73)","C0039070=Syncope, NOS (-0.76)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cc4,0.5403855515776212,"+ feeling LH. Recent loose stools, , denies blood in stool. .",461.0
1.0,0.8984256982803345,"Dysuria, NOS",dysuria,1.0,1.0,1.0,1.0,"C0013428=Dysuria, NOS (0.90)","C0022346=Icterus, NOS (-0.28)",C0027497=Nausea NOS (0.51),"C0011991=Diarrhea, NOS (0.24)","C0013390=Dysmenorrhea, NOS (0.03)","C0028738=Nystagmus, NOS (-0.13)","C0018681=Headache, NOS (-0.17)","C1384606=Dyspareunia, NOS (-0.21)","C0428977=Bradycardia, NOS (-0.22)","C0010200=Cough, NOS (-0.23)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cc8,0.3044264931251417,"Denies hx of pharyngitis or skin infection, , dysuria, , no muscle aches or joint pains, , had a non productive cough, , no headache, , n/ /v v. .",49.0
3790.0,-0.9316424727439879,Myalgia NOS,muscle aches,0.0,0.0,0.0002638522427440633,0.0002638522427440633,C0025222=Melaena (0.66),"C0004936=Mental disorder, NOS (-0.08)","C0043252=Gunshot wound, NOS (0.47)","C0029944=Overdose, NOS (0.41)",C0018926=Haematemesis (0.36),C0410232=Muscle abscess-hand (0.31),C0019080=Haemorrhage (0.09),C0006826=Neoplasms - malignant (0.06),"C0332803=Surgical wound, NOS (-0.02)",C0241235=Purulent sputum (-0.05),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cc9,0.5455076968370765,"Denies hx of pharyngitis or skin infection, , dysuria, , no muscle aches or joint pains, , had a non productive cough, , no headache, , n/ /v v. .",5945.0
9525.0,-0.990347385406494,Arthralgia NOS,joint pains,0.0,0.0,0.00010498687664041997,0.00010498687664041997,C0008031=Chest pain (0.53),C0037011=Shoulder pain (-0.48),C0241374=Thigh pain (-0.15),C0000737=Abdominal pain (-0.34),C0239783=Inguinal pain (-0.40),C0004604=Back pain (-0.41),"C0013404=Dyspnea, NOS (-0.42)",C0231710=Buttock pain (-0.45),C0238656=Ankle pain (-0.47),C0019559=Hip pain (-0.48),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819cca,0.5277146079491521,"Denies hx of pharyngitis or skin infection, , dysuria, , no muscle aches or joint pains, , had a non productive cough, , no headache, , n/ /v v. .",59492.0
1.0,0.958560347557068,"Headache, NOS",headache,1.0,1.0,1.0,1.0,"C0018681=Headache, NOS (0.96)",C0019080=Haemorrhage (-0.50),"C0013404=Dyspnea, NOS (0.04)",C0027497=Nausea NOS (-0.08),C0013604=Edema NOS (-0.08),"C0013390=Dysmenorrhea, NOS (-0.13)","C0039070=Syncope, NOS (-0.15)","C0010200=Cough, NOS (-0.20)","C0428977=Bradycardia, NOS (-0.41)","C0011991=Diarrhea, NOS (-0.43)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819ccc,0.05203199683896756,"Denies hx of pharyngitis or skin infection, , dysuria, , no muscle aches or joint pains, , had a non productive cough, , no headache, , n/ /v v. .",86883.0
2.0,0.5985058546066284,Nausea NOS,n,0.0,0.0,0.5,0.5,"C0013404=Dyspnea, NOS (0.65)","C0042950=Volition, NOS (-0.10)",C0027497=Nausea NOS (0.60),"C0039070=Syncope, NOS (0.57)","C0042963=Vomiting, NOS (0.42)","C0010200=Cough, NOS (0.31)","C0030193=Pain, NOS (0.26)","C0039870=Thinness, NOS (0.09)","C0015207=Eventration, NOS (0.07)","C0018681=Headache, NOS (0.00)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21833-003461-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819ccd,-0.0029139296149717636,"Denies hx of pharyngitis or skin infection, , dysuria, , no muscle aches or joint pains, , had a non productive cough, , no headache, , n/ /v v. .",126806.0
